"Date/Time","Glazing","Walls","Ceilings (int)","Floors (int)","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Zone Heating","General Lighting","Computer + Equip","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Outside Dry-Bulb Temperature",
,"kW","kW","kW","kW","kW","ac/h","kW","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","°C",
"1/1/2002 1:00:00 AM","-0.950373","-0.425858","0.629369","1.035328","0","0.727703","-0.522649","0","0","0","4.373011E-02","0","0","0","0","19.17233","20.31667","19.7445","8.25",
"1/1/2002 2:00:00 AM","-0.997468","-0.439471","0.7235","1.008537","0","0.728734","-0.543519","0","0","0","4.373011E-02","0","0","0","0","18.57058","19.74435","19.15747","7.25",
"1/1/2002 3:00:00 AM","-0.95157","-0.461436","0.784352","0.957392","0","0.727923","-0.529994","0","0","0","4.373011E-02","0","0","0","0","18.02615","19.22276","18.62446","7",
"1/1/2002 4:00:00 AM","-0.987693","-0.471882","0.84407","0.91016","0","0.728406","-0.540628","0","0","0","4.373011E-02","0","0","0","0","17.46832","18.69387","18.0811","6.25",
"1/1/2002 5:00:00 AM","-0.945705","-0.481076","0.890924","0.874346","0","0.727791","-0.529736","0","0","0","4.373011E-02","0","0","0","0","16.98312","18.19859","17.59085","6",
"1/1/2002 6:00:00 AM","-1.032988","-0.809882","0.480824","0.343359","0","0.742059","-0.802322","0","3.302217","0","4.373011E-02","0","0","3.164373","0","21.85101","18.03566","19.94333","5.25",
"1/1/2002 7:00:00 AM","-1.130815","-0.879402","0.11431","-0.249213","0","0.743034","-0.822875","0","2.984078","0","4.373011E-02","0","0","2.981985","0","21.99822","18.44301","20.22061","5",
"1/1/2002 8:00:00 AM","-0.19778","-1.041396","-0.48459","-1.105916","0","1.089501","-0.785448","0","1.449221","1.3776","0.8107176","0.1472258","0.3324317","1.079575","0","21.99999","19.59685","20.79842","5.75",
"1/1/2002 9:00:00 AM","0.502346","-0.731107","-0.606409","-1.313891","0","1.428374","-0.621743","0","0.476896","1.3776","0.8107176","0.2944507","0.5612699","7.981753E-02","-0.1949633","22","20.44375","21.22188","9",
"1/1/2002 10:00:00 AM","0.967877","-0.408664","-0.759432","-1.381337","0","2.119317","-0.514541","0","0","1.3776","0.8107176","0.5876733","0.6544206","0","-0.9885768","22.34465","21.24904","21.79684","11.5",
"1/1/2002 11:00:00 AM","0.929741","-0.180595","-1.017482","-1.410234","0","2.119824","-0.430699","0","0","1.3776","0.8107176","0.5558553","0.623876","0","-0.8353777","23.40952","22.07375","22.74163","14.25",
"1/1/2002 12:00:00 PM","0.919596","-0.04028","-1.193528","-1.374406","-0.470704","2.117916","-0.313767","-0.470704","0","1.3776","0.8107176","0.5262077","0.5979992","0","-1.086176","23.99087","22.85271","23.42179","17.25",
"1/1/2002 1:00:00 PM","0.929017","0.063556","-1.175666","-1.190133","-0.968106","1.766349","-0.278485","-0.968106","0","1.3776","0.8107176","0.3926026","0.6022682","0","-1.379435","24","23.4517","23.72585","18",
"1/1/2002 2:00:00 PM","1.158649","0.08865","-1.217595","-1.081236","-1.441751","1.7646","-0.243114","-1.441751","0","1.3776","0.8107176","0.3926026","0.6710348","0","-1.802196","24","24.03634","24.01817","18.75",
"1/1/2002 3:00:00 PM","1.070934","0.178402","-1.205173","-0.92902","-1.709769","2.113771","-0.196308","-1.709769","0","1.3776","0.8107176","0.5234702","0.6159385","0","-2.098541","24","24.50182","24.25091","19.75",
"1/1/2002 4:00:00 PM","0.800381","0.256528","-1.125814","-0.698657","-1.848433","2.109937","-0.149825","-1.848433","0","1.3776","0.8107176","0.5234702","0.479655","0","-2.145887","24","24.8087","24.40435","20.75",
"1/1/2002 5:00:00 PM","-0.144086","0.282886","-0.856573","-0.234109","-1.067879","2.114061","-0.243218","-1.067879","0","1.3776","0.8107176","0.5234702","0.1080801","0","-1.547111","24","24.67286","24.33643","18.75",
"1/1/2002 6:00:00 PM","-0.550092","0.054422","-0.666375","0.05122","-0.513303","1.421018","-0.385638","-0.513303","0","1.3776","0.8107176","0.2617351","0","0","-0.889436","24","24.40647","24.20323","15.75",
"1/1/2002 7:00:00 PM","-0.651296","-0.184095","-0.559274","0.144968","-0.329938","1.07433","-0.457776","-0.329938","0","1.3776","0.8107176","0.1308675","0","0","-0.5521324","24","24.1961","24.09805","14.25",
"1/1/2002 8:00:00 PM","-0.938146","-0.137515","-0.06313","0.68784","0","0.727543","-0.523019","0","0","0","0.8107176","0","0","0","0","23.57326","23.40739","23.49033","12.5",
"1/1/2002 9:00:00 PM","-0.924063","-0.206706","0.178688","1.039025","0","0.724667","-0.467898","0","0","0","4.373011E-02","0","0","0","0","21.87948","22.74645","22.31297","12",
"1/1/2002 10:00:00 PM","-0.988572","-0.306157","0.332563","1.151545","0","0.726238","-0.501162","0","0","0","4.373011E-02","0","0","0","0","21.02624","22.04556","21.5359","10.5",
"1/1/2002 11:00:00 PM","-0.9839","-0.361158","0.455075","1.158837","0","0.72579","-0.493855","0","0","0","4.373011E-02","0","0","0","0","20.35639","21.42196","20.88918","10",
"1/2/2002","-0.956695","-0.402557","0.540082","1.087372","0","0.726261","-0.50289","0","0","0","4.373011E-02","0","0","0","0","19.76911","20.86384","20.31647","9.25",
"1/2/2002 1:00:00 AM","-0.922643","-0.429558","0.618782","1.019167","0","0.725604","-0.489851","0","0","0","4.373011E-02","0","0","0","0","19.24534","20.33227","19.7888","9",
"1/2/2002 2:00:00 AM","-0.970018","-0.441018","0.70047","0.969273","0","0.726111","-0.500211","0","0","0","4.373011E-02","0","0","0","0","18.68784","19.78631","19.23708","8.25",
"1/2/2002 3:00:00 AM","-0.92563","-0.452301","0.757643","0.915656","0","0.725427","-0.487536","0","0","0","4.373011E-02","0","0","0","0","18.16446","19.2884","18.72643","8",
"1/2/2002 4:00:00 AM","-0.958136","-0.458579","0.812901","0.866001","0","0.726011","-0.498771","0","0","0","4.373011E-02","0","0","0","0","17.63012","18.78351","18.20681","7.25",
"1/2/2002 5:00:00 AM","-0.945351","-0.463192","0.861267","0.834833","0","0.725338","-0.487489","0","0","0","4.373011E-02","0","0","0","0","17.13873","18.29513","17.71693","7",
"1/2/2002 6:00:00 AM","-0.991835","-0.772156","0.459242","0.318604","0","0.737302","-0.714253","0","3.105597","0","4.373011E-02","0","0","2.976574","0","21.8645","18.15835","20.01142","7",
"1/2/2002 7:00:00 AM","-1.1269","-0.82129","0.113427","-0.240305","0","0.739483","-0.758762","0","2.883603","0","4.373011E-02","0","0","2.882892","0","21.99917","18.53719","20.26818","6.25",
"1/2/2002 8:00:00 AM","-0.091911","-0.991672","-0.502273","-1.113744","0","1.083457","-0.696129","0","1.180989","1.3776","0.8107176","0.1472265","0.3429295","0.853009","0","21.99999","19.71045","20.85522","7.5",
"1/2/2002 9:00:00 AM","0.743213","-0.669305","-0.643585","-1.349298","0","1.421039","-0.515069","0","0.163349","1.3776","0.8107176","0.2944507","0.594003","0","-0.3283651","22.24146","20.60997","21.42571","11.375",
"1/2/2002 10:00:00 AM","1.223022","-0.392919","-0.993838","-1.592329","-0.048546","2.111733","-0.357467","-0.048546","0","1.3776","0.8107176","0.557797","0.6770728","0","-0.7411264","23.52458","21.62317","22.57387","15.875",
"1/2/2002 11:00:00 AM","1.168246","-0.080662","-1.220515","-1.643891","-0.72517","2.107521","-0.219645","-0.72517","0","1.3776","0.8107176","0.5234702","0.6223878","0","-1.156213","23.9999","22.62559","23.31274","19.25",
"1/2/2002 12:00:00 PM","1.157617","0.180271","-1.204918","-1.436071","-1.574072","2.101893","-0.080644","-1.574072","0","1.3776","0.8107176","0.5234702","0.5716878","0","-1.733929","24","23.36008","23.68004","22.25",
"1/2/2002 1:00:00 PM","1.296401","0.298823","-1.225823","-1.242718","-2.180987","1.748371","0.021642","-2.180987","0","1.3776","0.8107176","0.3926026","0.5765332","0","-2.14825","24","23.98874","23.99437","24.5",
"1/2/2002 2:00:00 PM","1.56729","0.378811","-1.29969","-1.146173","-2.787509","1.746081","0.077751","-2.787509","0","1.3776","0.8107176","0.3926026","0.6712821","0","-2.669666","24","24.62834","24.31417","25.75",
"1/2/2002 3:00:00 PM","1.409633","0.441104","-1.296992","-0.97581","-2.868176","2.102025","0.021635","-2.868176","0","1.3776","0.8107176","0.5234702","0.6637121","0","-2.823737","24","25.11308","24.55654","24.5",
"1/2/2002 4:00:00 PM","0.909365","0.446428","-1.174187","-0.624346","-2.437967","2.104775","-0.069063","-2.437967","0","1.3776","0.8107176","0.5234702","0.4996441","0","-2.575289","24","25.33862","24.66931","22.5",
"1/2/2002 5:00:00 PM","-0.061683","0.402839","-0.873101","-0.126241","-1.61349","2.10917","-0.161034","-1.61349","0","1.3776","0.8107176","0.5234702","0.114883","0","-1.9321","24","25.15012","24.57506","20.5",
"1/2/2002 6:00:00 PM","-0.470264","0.157013","-0.672216","0.156476","-0.984815","1.415816","-0.289647","-0.984815","0","1.3776","0.8107176","0.2617351","0","0","-1.268592","24","24.85925","24.42962","17.75",
"1/2/2002 7:00:00 PM","-0.54738","-0.095402","-0.560795","0.234526","-0.754433","1.06932","-0.360696","-0.754433","0","1.3776","0.8107176","0.1308675","0","0","-0.9303739","24","24.64109","24.32054","16.25",
"1/2/2002 8:00:00 PM","-0.895438","-0.082569","-0.100357","0.693253","0","0.725493","-0.484853","0","0","0","0.8107176","0","0","0","0","24.08293","23.89717","23.99005","13.75",
"1/2/2002 9:00:00 PM","-0.93857","-0.153927","0.156473","1.030366","0","0.724976","-0.474895","0","0","0","4.373011E-02","0","0","0","0","22.31887","23.24664","22.78275","12.25",
