Month,Day,Hour,Dry Bulb Temperature,Dew Point Temperature,Relative Humidity
1,1,1,-7,-12,64
1,1,2,-7,-12,64
1,1,3,-7,-11,70
1,1,4,-8,-12,70
1,1,5,-8,-12,70
1,1,6,-8,-12,70
1,1,7,-8,-12,70
1,1,8,-9,-12,77
1,1,9,-8,-12,70
1,1,10,-8,-12,70
1,1,11,-7,-12,64
1,1,12,-7,-11,70
1,1,13,-7,-12,64
1,1,14,-6,-12,59
1,1,15,-7,-13,59
1,1,16,-8,-14,58
1,1,17,-8,-13,64
1,1,18,-10,-14,70
1,1,19,-11,-14,76
1,1,20,-12,-14,83
1,1,21,-14,-15,91
1,1,22,-16,-17,91
1,1,23,-16,-18,83
1,1,24,-17,-19,83
1,2,1,-16,-18,83
1,2,2,-16,-18,83
1,2,3,-17,-18,91
1,2,4,-17,-18,91
1,2,5,-17,-18,91
1,2,6,-16,-18,83
1,2,7,-16.5,-18.5,83
1,2,8,-17,-19,83
1,2,9,-14,-16,83
1,2,10,-13,-14,91
1,2,11,-11,-12,91
1,2,12,-9,-12,77
1,2,13,-7,-10,77
1,2,14,-6,-10,70
1,2,15,-5,-9,71
1,2,16,-5,-10,65
1,2,17,-5,-10,65
1,2,18,-6,-10,70
1,2,19,-7,-11,70
1,2,20,-7,-10,77
1,2,21,-7,-10,77
1,2,22,-8,-10,84
1,2,23,-9,-11,84
1,2,24,-9,-11,84
1,3,1,-9,-11,84
1,3,2,-10,-12,84
1,3,3,-12,-14,83
1,3,4,-12,-15,76
1,3,5,-12,-16,69
1,3,6,-12,-16,69
1,3,7,-12,-16,69
1,3,8,-15,-17,83
1,3,9,-14,-17,76
1,3,10,-12,-15,76
1,3,11,-12,-14,83
1,3,12,-11,-13,84
1,3,13,-10,-12,84
1,3,14,-9,-11,84
1,3,15,-8,-10,84
1,3,16,-7,-9,84
1,3,17,-7,-8,92
1,3,18,-7,-8,92
1,3,19,-6,-7,92
1,3,20,-6,-7,92
1,3,21,-6,-7,92
1,3,22,-5,-8,77
1,3,23,-5,-8,77
1,3,24,-5,-8,77
1,4,1,-6,-8,84
1,4,2,-6,-8,84
1,4,3,-6,-8,84
1,4,4,-6,-8,84
1,4,5,-6,-8,84
1,4,6,-6,-9,77
1,4,7,-6,-9,77
1,4,8,-6,-9,77
1,4,9,-6,-9,77
1,4,10,-5,-9,71
1,4,11,-6,-9,77
1,4,12,-5,-9,71
1,4,13,-4,-10,59
1,4,14,-4,-9,65
1,4,15,-4,-8,71
1,4,16,-4,-8,71
1,4,17,-4,-8,71
1,4,18,-4,-7,77
1,4,19,-4,-6,84
1,4,20,-4,-6,84
1,4,21,-4,-6,84
1,4,22,-4,-6,84
1,4,23,-4,-6,84
1,4,24,-4,-6,84
1,5,1,-3.7,-5.3,87
1,5,2,-3,-4,92
1,5,3,-2,-4,85
1,5,4,-2.2,-4.2,84
1,5,5,-2,-4,85
1,5,6,-2,-3.4,89
1,5,7,-2,-3,92
1,5,8,-1,-2,92
1,5,9,0,-2,85
1,5,10,1,-2,79
1,5,11,2,-1,80
1,5,12,1,-1,86
1,5,13,1,-1,86
1,5,14,1,-1,86
1,5,15,1,-1,86
1,5,16,1,-1,86
1,5,17,1,-2,79
1,5,18,1,-2,79
1,5,19,1,-2,79
1,5,20,1,-3,72
1,5,21,0,-4,72
1,5,22,0,-4,72
1,5,23,-1,-5,71
1,5,24,-1,-6,66
1,6,1,-1,-4,78
1,6,2,-1.5,-4.9,75
1,6,3,-2,-6,71
1,6,4,-2,-8,60
1,6,5,-2,-7,65
1,6,6,-3,-7,71
1,6,7,-3,-7,71
1,6,8,-3,-7,71
1,6,9,-3,-7,71
1,6,10,-3,-7,71
1,6,11,-2,-6,71
1,6,12,-1,-4,78
1,6,13,-1,-4,78
1,6,14,-1,-4,78
1,6,15,0,-6,60
1,6,16,0,-6,60
1,6,17,-1,-7,60
1,6,18,-2,-6,71
1,6,19,-2,-7,65
1,6,20,-3,-7,71
1,6,21,-3,-7,71
1,6,22,-3,-6,77
1,6,23,-3,-6,77
1,6,24,-3,-5,84
1,7,1,-2.7,-5.3,80
1,7,2,-2,-5,78
1,7,3,-2,-4,85
1,7,4,-2,-4,85
1,7,5,-2,-4,85
1,7,6,-2,-3,92
1,7,7,-1,-3,85
1,7,8,-1,-2,92
1,7,9,-1,-2,92
1,7,10,-1,-2,92
1,7,11,0,-2,85
1,7,12,0,-2,85
1,7,13,1,-2,79
1,7,14,0,-2,85
1,7,15,1,-2,79
1,7,16,1,-3,72
1,7,17,0,-2,85
1,7,18,-1,-3,85
1,7,19,-1,-3,85
1,7,20,-1,-3,85
1,7,21,-2,-4,85
1,7,22,-2,-4,85
1,7,23,-2,-5,78
1,7,24,-3,-6,77
1,8,1,-3,-4,92
1,8,2,-4.3,-5.3,92
1,8,3,-5.7,-6.7,92
1,8,4,-7,-8,92
1,8,5,-7,-9,84
1,8,6,-8,-10,84
1,8,7,-9,-11,84
1,8,8,-9,-12,77
1,8,9,-11,-13,84
1,8,10,-10,-13,76
1,8,11,-9,-13,70
1,8,12,-8,-13,64
1,8,13,-8,-13,64
1,8,14,-8,-13,64
1,8,15,-8,-14,58
1,8,16,-9,-14,64
1,8,17,-9,-14,64
1,8,18,-11,-14,76
1,8,19,-12,-16,69
1,8,20,-12,-16,69
1,8,21,-14,-17,76
1,8,22,-14,-16,83
1,8,23,-13,-16,76
1,8,24,-14,-17,76
1,9,1,-14,-17,76
1,9,2,-15,-17,83
1,9,3,-16,-17,91
1,9,4,-16,-18,83
1,9,5,-16,-18,83
1,9,6,-16,-18,83
1,9,7,-17,-18,91
1,9,8,-17,-18,91
1,9,9,-16,-17,91
1,9,10,-13,-15,83
1,9,11,-10,-13,76
1,9,12,-7,-11,70
1,9,13,-5,-9,71
1,9,14,-6,-9,77
1,9,15,-4,-9,65
1,9,16,-3,-8,65
1,9,17,-3,-8,65
1,9,18,-3,-8,65
1,9,19,-4,-8,71
1,9,20,-4,-8,71
1,9,21,-4,-8,71
1,9,22,-5,-8,77
1,9,23,-5,-8,77
1,9,24,-5,-8,77
1,10,1,-5,-8,77
1,10,2,-6,-8,84
1,10,3,-5,-8,77
1,10,4,-5,-7,84
1,10,5,-5,-7,84
1,10,6,-6,-8,84
1,10,7,-6,-8,84
1,10,8,-6,-8,84
1,10,9,-6,-8,84
1,10,10,-3,-7,71
1,10,11,-1,-6,66
1,10,12,1,-6,56
1,10,13,3,-6,49
1,10,14,4,-6,45
1,10,15,4,-6,45
1,10,16,4,-7,42
1,10,17,3,-7,45
1,10,18,2,-6,52
1,10,19,1,-6,56
1,10,20,1,-6,56
1,10,21,-1,-7,60
1,10,22,-1,-7,60
1,10,23,-2,-6,71
1,10,24,-2,-6,71
1,11,1,-1,-6,66
1,11,2,-1,-6,66
1,11,3,-1,-6,66
1,11,4,-2,-6,71
1,11,5,-1,-5,71
1,11,6,-1,-4,78
1,11,7,-1,-4,78
1,11,8,-2,-5,78
1,11,9,-1,-5,71
1,11,10,-1,-5,71
1,11,11,1,-4,67
1,11,12,1,-3,72
1,11,13,2,-3,67
1,11,14,3,-3,63
1,11,15,3,-2,68
1,11,16,3,-2,68
1,11,17,3,-2,68
1,11,18,3,-2,68
1,11,19,2,-3,67
1,11,20,2,-3,67
1,11,21,1,-3,72
1,11,22,2,-3,67
1,11,23,1,-3,72
1,11,24,0,-2,85
1,12,1,0,-2,85
1,12,2,0,-2,85
1,12,3,-1,-2,92
1,12,4,-1,-2,92
1,12,5,-1,-3,85
1,12,6,-1,-3,85
1,12,7,-1,-3,85
1,12,8,-1,-3,85
1,12,9,-1,-3,85
1,12,10,-2,-3,92
1,12,11,-2,-3,92
1,12,12,-2,-3,92
1,12,13,-2,-3,92
1,12,14,-1,-3,85
1,12,15,-1,-3,85
1,12,16,-1,-2,92
1,12,17,-1,-2,92
1,12,18,-1,-2,92
1,12,19,-1,-2,92
1,12,20,-1,-2,92
1,12,21,0,-2,85
1,12,22,0,-2,85
1,12,23,0,-2,85
1,12,24,-1,-1,100
1,13,1,-1,-1,100
1,13,2,-1,-1,100
1,13,3,-1,-1,100
1,13,4,-1,-1,100
1,13,5,-1,-1,100
1,13,6,0,-1,92
1,13,7,0,-1,92
1,13,8,0,-2,85
1,13,9,-1,-2,92
1,13,10,-1,-2,92
1,13,11,-1,-2,92
1,13,12,-1,-2,92
1,13,13,-1,-2,92
1,13,14,0,-1,92
1,13,15,0,-1,92
1,13,16,0,-1,92
1,13,17,1,-1,86
1,13,18,0,-2,85
1,13,19,0,-1,92
1,13,20,0,-1,92
1,13,21,0,-1,92
1,13,22,0,-2,85
1,13,23,-1,-1,100
1,13,24,-1,-2,92
1,14,1,-1,-2,92
1,14,2,-1,-2,92
1,14,3,-1.5,-2.3,94
1,14,4,-1.9,-2.4,96
1,14,5,-2,-2,100
1,14,6,-2,-2,100
1,14,7,-2,-2,100
1,14,8,-2,-3,92
1,14,9,-2,-3,92
1,14,10,-2,-3,92
1,14,11,-2,-2,100
1,14,12,-1,-2,92
1,14,13,-1,-2,92
1,14,14,-1,-2,92
1,14,15,0,-1,92
1,14,16,0,-1,92
1,14,17,0,-1,92
1,14,18,0,-1,92
1,14,19,1,-1,86
1,14,20,1,0,93
1,14,21,1,0,93
1,14,22,1,0,93
1,14,23,1,0,93
1,14,24,1,-2,79
1,15,1,2,0,87
1,15,2,2,-1,80
1,15,3,2,-1,80
1,15,4,3,-1,74
1,15,5,2,-1,80
1,15,6,2,2,100
1,15,7,2,2,100
1,15,8,2,1,93
1,15,9,3,1,87
1,15,10,2,0,87
1,15,11,3,0,81
1,15,12,2,0,87
1,15,13,1,-1,86
1,15,14,1,0,93
1,15,15,1,0,93
1,15,16,1,0,93
1,15,17,1,0,93
1,15,18,1,0,93
1,15,19,1,-1,86
1,15,20,1,-1,86
1,15,21,1,-1,86
1,15,22,1,-1,86
1,15,23,1,-1,86
1,15,24,1,-1,86
1,16,1,1,-1,86
1,16,2,1,-1,86
1,16,3,1,-1,86
1,16,4,1,-1,86
1,16,5,1,-1,86
1,16,6,1,-1,86
1,16,7,1,0,93
1,16,8,1,-1,86
1,16,9,1,-1,86
1,16,10,1,-1,86
1,16,11,1,-1,86
1,16,12,2,-2,73
1,16,13,1,-1,86
1,16,14,1,-3,72
1,16,15,1,-3,72
1,16,16,1,-3,72
1,16,17,1,-2,79
1,16,18,1,-2,79
1,16,19,0,-2,85
1,16,20,0,-2,85
1,16,21,-1,-3,85
1,16,22,-1,-4,78
1,16,23,-1,-4,78
1,16,24,-1,-4,78
1,17,1,-1.2,-5.3,71
1,17,2,-1,-6,66
1,17,3,-2,-4,85
1,17,4,-2,-5,78
1,17,5,-2,-5,78
1,17,6,-2,-4,85
1,17,7,-2,-3,92
1,17,8,-2,-3,92
1,17,9,-2,-3,92
1,17,10,-2,-3,92
1,17,11,-1,-4,78
1,17,12,-1,-4,78
1,17,13,-1,-4,78
1,17,14,-1,-4,78
1,17,15,-1,-6,66
1,17,16,-1,-5,71
1,17,17,-1,-4,78
1,17,18,-2,-4,85
1,17,19,-2,-3,92
1,17,20,-1,-4,78
1,17,21,-1.6,-4.1,81
1,17,22,-2,-4,85
1,17,23,-2,-4,85
1,17,24,-2,-6,71
1,18,1,-3,-6,77
1,18,2,-3,-6,77
1,18,3,-3,-6,77
1,18,4,-3,-6,77
1,18,5,-4,-6,84
1,18,6,-4,-6,84
1,18,7,-4,-6,84
1,18,8,-4,-6,84
1,18,9,-4,-6,84
1,18,10,-4,-6,84
1,18,11,-3,-6,77
1,18,12,-3,-6,77
1,18,13,-3,-6,77
1,18,14,-2,-5,78
1,18,15,-2,-4,85
1,18,16,-2,-4,85
1,18,17,-2,-5,78
1,18,18,-2,-5,78
1,18,19,-2,-5,78
1,18,20,-2,-5,78
1,18,21,-3,-5,84
1,18,22,-3,-5,84
1,18,23,-4,-5,92
1,18,24,-4,-5,92
1,19,1,-3,-5,84
1,19,2,-4,-5,92
1,19,3,-3,-5,84
1,19,4,-3,-5,84
1,19,5,-3,-5,84
1,19,6,-3,-4,92
1,19,7,-3,-4,92
1,19,8,-3,-4,92
1,19,9,-3,-5,84
1,19,10,-3,-6,77
1,19,11,-2,-6,71
1,19,12,-2,-6,71
1,19,13,-3,-6,77
1,19,14,-4,-7,77
1,19,15,-4,-8,71
1,19,16,-4,-10,59
1,19,17,-6,-11,64
1,19,18,-7,-13,59
1,19,19,-8,-13,64
1,19,20,-9,-14,64
1,19,21,-10,-14,70
1,19,22,-9,-13,70
1,19,23,-9,-13,70
1,19,24,-9,-13,70
1,20,1,-9,-13,70
1,20,2,-9,-13,70
1,20,3,-11,-14,76
1,20,4,-11.7,-14.2,80
1,20,5,-12,-14,83
1,20,6,-13,-15,83
1,20,7,-13,-15,83
1,20,8,-13,-16,76
1,20,9,-13,-15,83
1,20,10,-10,-13,76
1,20,11,-8,-13,64
1,20,12,-7,-12,64
1,20,13,-7,-12,64
1,20,14,-6,-13,54
1,20,15,-6,-13,54
1,20,16,-7,-13,59
1,20,17,-7,-14,54
1,20,18,-8,-15,53
1,20,19,-10,-14,70
1,20,20,-11,-14,76
1,20,21,-12,-15,76
1,20,22,-11,-14,76
1,20,23,-11,-14,76
1,20,24,-9,-12,77
1,21,1,-11,-13,84
1,21,2,-11,-13,84
1,21,3,-11,-13,84
1,21,4,-11,-12,91
1,21,5,-11,-13,84
1,21,6,-12,-13,91
1,21,7,-11,-13,84
1,21,8,-12,-12,100
1,21,9,-11,-13,84
1,21,10,-9,-12,77
1,21,11,-7,-11,70
1,21,12,-7,-9,84
1,21,13,-6,-9,77
1,21,14,-6,-9,77
1,21,15,-5,-8,77
1,21,16,-5,-8,77
1,21,17,-5,-8,77
1,21,18,-6,-8,84
1,21,19,-6,-8,84
1,21,20,-6,-8,84
1,21,21,-5,-7,84
1,21,22,-5,-8,77
1,21,23,-5,-8,77
1,21,24,-5,-8,77
1,22,1,-5,-8,77
1,22,2,-5,-8,77
1,22,3,-6,-8,84
1,22,4,-6,-8,84
1,22,5,-5,-8,77
1,22,6,-5,-9,71
1,22,7,-5,-9,71
1,22,8,-6,-8,84
1,22,9,-6,-9,77
1,22,10,-5,-8,77
1,22,11,-4,-8,71
1,22,12,-3,-7,71
1,22,13,-3,-7,71
1,22,14,-3,-7,71
1,22,15,-2,-7,65
1,22,16,-2,-7,65
1,22,17,-2,-7,65
1,22,18,-3,-7,71
1,22,19,-3,-6,77
1,22,20,-3,-6,77
1,22,21,-3,-6,77
1,22,22,-3,-6,77
1,22,23,-3,-6,77
1,22,24,-3,-6,77
1,23,1,-3,-6,77
1,23,2,-3,-6,77
1,23,3,-2,-6,71
1,23,4,-2,-5,78
1,23,5,-2,-5,78
1,23,6,-2,-5,78
1,23,7,-2,-4,85
1,23,8,-2,-4,85
1,23,9,-3,-5,84
1,23,10,-2,-4,85
1,23,11,-1,-4,78
1,23,12,0,-3,78
1,23,13,0,-3,78
1,23,14,0,-3,78
1,23,15,1,-3,72
1,23,16,1,-3,72
1,23,17,0,-3,78
1,23,18,0,-3,78
1,23,19,0,-4,72
1,23,20,-1,-4,78
1,23,21,-1,-4,78
1,23,22,-1,-4,78
1,23,23,-1,-4,78
1,23,24,-2,-6,71
1,24,1,-2,-6,71
1,24,2,-3,-6,77
1,24,3,-3,-7,71
1,24,4,-3,-7,71
1,24,5,-3,-7,71
1,24,6,-3,-7,71
1,24,7,-3,-7,71
1,24,8,-3,-7,71
1,24,9,-3,-7,71
1,24,10,-3,-6,77
1,24,11,-2,-6,71
1,24,12,-2,-5,78
1,24,13,-2,-5,78
1,24,14,-1,-5,71
1,24,15,-1,-6,66
1,24,16,0,-6,60
1,24,17,-1,-6,66
1,24,18,-2,-3,92
1,24,19,-2,-4,85
1,24,20,-3,-6,77
1,24,21,-3,-8,65
1,24,22,-4,-10,59
1,24,23,-6,-11,64
1,24,24,-7,-12,64
1,25,1,-8,-12,70
1,25,2,-8,-12,70
1,25,3,-8,-14,58
1,25,4,-8,-12,70
1,25,5,-9,-12,77
1,25,6,-8,-12,70
1,25,7,-8,-11,77
1,25,8,-7,-10,77
1,25,9,-7,-10,77
1,25,10,-6,-9,77
1,25,11,-6,-9,77
1,25,12,-6,-9,77
1,25,13,-5,-10,65
1,25,14,-4,-10,59
1,25,15,-4,-9,65
1,25,16,-4,-9,65
1,25,17,-4,-9,65
1,25,18,-4,-9,65
1,25,19,-5,-9,71
1,25,20,-6,-9,77
1,25,21,-6,-9,77
1,25,22,-6,-9,77
1,25,23,-7,-9,84
1,25,24,-7,-9,84
1,26,1,-8,-10,84
1,26,2,-9,-11,84
1,26,3,-8,-13,64
1,26,4,-9,-13,70
1,26,5,-8,-12,70
1,26,6,-8,-12,70
1,26,7,-9,-12,77
1,26,8,-9,-12,77
1,26,9,-8,-11,77
1,26,10,-7,-10,77
1,26,11,-4,-9,65
1,26,12,-3,-9,60
1,26,13,-3,-8,65
1,26,14,-3,-9,60
1,26,15,-2,-8,60
1,26,16,-3,-5,84
1,26,17,-3,-4,92
1,26,18,-3,-4,92
1,26,19,-3,-4,92
1,26,20,-3,-4,92
1,26,21,-3,-4,92
1,26,22,-3,-4,92
1,26,23,-3,-4,92
1,26,24,-3,-4,92
1,27,1,-2,-4,85
1,27,2,-2,-3,92
