Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),ZONE1:Zone People Number Of Occupants [](Hourly),ZONE1:Zone People Total Heat Gain [J](Hourly),ZONE1:Zone Window Heat Gain[W](Hourly),ZONE1:Zone Window Heat Loss[W](Hourly),ZONE1:Zone Transmitted Solar Energy[J](Hourly),ZONE1_FACE_1_WINDOW_1:Window Transmitted Beam Solar [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Gain [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Loss [W](Hourly),ZONE1:Zone Mean Radiant Temperature [C](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Operative Temperature [C](Hourly)
 01/01  01:00:00,7.0125,0.975,0,0,0,149.9313665545,0,0,0,51.0757024083,16.6138782553,15.7400687409,16.1769734981
 01/01  02:00:00,7.2,1.3125,0,0,0,142.3278642114,0,0,0,48.4419676691,16.4563673631,15.6278193697,16.0420933664
 01/01  03:00:00,6.8875,2.1,0,0,0,144.3922830859,0,0,0,49.1052714843,16.3025834842,15.4717721467,15.8871778154
 01/01  04:00:00,6.325,1.725,0,0,0,153.0733717013,0,0,0,52.1521748207,16.1455592836,15.2836216145,15.7145904491
 01/01  05:00:00,5.0375,2.5,0,0,0,166.8406352056,0,0,0,56.7119862276,15.9809697781,15.0517409913,15.5163553847
 01/01  06:00:00,4.4,2.475,0,0,0,171.3953292446,0,0,0,58.208826794,15.8526664216,15.0000000001,15.4263332108
 01/01  07:00:00,5.4625,0.7875,0,0,0,156.1354722504,0,0,0,53.1098496207,15.7869849233,15,15.3934924617
 01/01  08:00:00,5.4125,0,0,0,223.0555507128,76.7476081883,728074.246836958,42.1871100891,63.7596855375,26.112307373,15.9398683507,15.0784091462,15.5091387484
 01/01  09:00:00,6.75,0,0,0,1349.2238878703,0,3663390.28468048,291.5713807986,493.9276571421,0,17.1166050845,16.1895112802,16.6530581824
 01/01  10:00:00,8.4875,0,0,0,1992.5493585501,0,5270571.57980145,501.7205913914,847.5559312572,0,18.307806702,17.6221806699,17.964993686
 01/01  11:00:00,9.2125,0.9375,0,0,2041.7878089256,0,5397662.76014976,587.2513093288,1018.9661923321,0,19.0446658697,18.4477545272,18.7462101985
 01/01  12:00:00,9.775,1.5,0,0,1731.7238317925,0,4706099.74707978,534.7356767099,975.3851276312,0,19.3583635946,18.7015296893,19.029946642
 01/01  13:00:00,10.375,1.5,0,0,1658.218248948,0,4511093.22369203,527.3338523626,965.7984358185,0,19.7647800356,19.0472966477,19.4060383417
 01/01  14:00:00,10.9125,0.5625,0,0,1602.9920304312,0,4353204.19476753,500.5640580617,909.1982901182,0,20.2180723869,19.4803242176,19.8491983022
 01/01  15:00:00,12.85,0,0,0,870.3166137536,0,2461174.95691606,250.1301359055,461.675140952,0,20.0446095034,19.4332158812,19.7389126923
 01/01  16:00:00,13.9,1.9375,0,0,60.7410384269,5.4302857675,387519.657701945,8.8416467657,28.469688832,1.5269620118,19.31613697,18.7744207416,19.0452788558
 01/01  17:00:00,12.15,3.1,0,0,0,107.3547109633,24290.6669914847,0,0,36.5316991738,18.8702992942,18.1644603901,18.5173798421
 01/01  18:00:00,11.1,2.1,0,0,0,124.927340756,0,0,0,42.6603282775,18.5076414494,17.718617164,18.1131293067
 01/01  19:00:00,10.7875,1.5,0,0,0,126.2094603046,0,0,0,43.175151215,18.2040119273,17.4333059129,17.8186589201
 01/01  20:00:00,10.6,1.875,0,0,0,124.4067934376,0,0,0,42.6006742477,17.9078338468,17.1665476622,17.5371907545
 01/01  21:00:00,9.5375,2.1,0,0,0,134.7605502447,0,0,0,46.1295795496,17.6122778041,16.8285634957,17.2204206499
 01/01  22:00:00,9.2125,2.1,0,0,0,134.3163172603,0,0,0,45.9345842331,17.3257995147,16.5470076265,16.9364035706
 01/01  23:00:00,8.4,1.725,0,0,0,142.1371869101,0,0,0,48.5797707223,17.0859276979,16.2789094201,16.682418559
 01/01  24:00:00,7.1125,2.1875,0,0,0,154.8086285771,0,0,0,52.7719846081,16.8209265091,15.9326602489,16.376793379
 01/02  01:00:00,8.075,2.2875,0,0,0,138.1817141134,0,0,0,47.1079308274,16.6348220967,15.8566982401,16.2457601684
 01/02  02:00:00,7.15,0.7875,0,0,0,148.619545024,0,0,0,50.6244221128,16.4897904697,15.674002598,16.0818965339
 01/02  03:00:00,5.7875,0,0,0,0,161.8104264066,0,0,0,55.0769784829,16.2631368298,15.3425750144,15.8028559221
 01/02  04:00:00,4.5375,0,0,0,0,173.4536301477,0,0,0,58.9850122936,16.0588385348,15.0753488391,15.567093687
 01/02  05:00:00,4.9625,0.9375,0,0,0,167.0689600483,0,0,0,56.8803225467,15.9008847433,15.0000000142,15.4504423788
 01/02  06:00:00,6.6,2.5,0,0,0,180.5976186532,0,0,0,61.6807607314,17.4562763446,21.9098751532,19.6830757489
