Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),ZONE1:Zone People Number Of Occupants [](Hourly),ZONE1:Zone People Total Heat Gain [J](Hourly),ZONE1:Zone Operative Temperature [C](Hourly)
 01/01  01:00:00,7.0125,0,0,16.1769734981
 01/01  02:00:00,7.2,0,0,16.0420933664
 01/01  03:00:00,6.8875,0,0,15.8871778154
 01/01  04:00:00,6.325,0,0,15.7145904491
 01/01  05:00:00,5.0375,0,0,15.5163553847
 01/01  06:00:00,4.4,0,0,15.4263332108
 01/01  07:00:00,5.4625,0,0,15.3934924617
 01/01  08:00:00,5.4125,0,0,15.5091387484
 01/01  09:00:00,6.75,0,0,16.6530581824
 01/01  10:00:00,8.4875,0,0,17.964993686
 01/01  11:00:00,9.2125,0,0,18.7462101985
 01/01  12:00:00,9.775,0,0,19.029946642
 01/01  13:00:00,10.375,0,0,19.4060383417
 01/01  14:00:00,10.9125,0,0,19.8491983022
 01/01  15:00:00,12.85,0,0,19.7389126923
 01/01  16:00:00,13.9,0,0,19.0452788558
 01/01  17:00:00,12.15,0,0,18.5173798421
 01/01  18:00:00,11.1,0,0,18.1131293067
 01/01  19:00:00,10.7875,0,0,17.8186589201
 01/01  20:00:00,10.6,0,0,17.5371907545
 01/01  21:00:00,9.5375,0,0,17.2204206499
 01/01  22:00:00,9.2125,0,0,16.9364035706
 01/01  23:00:00,8.4,0,0,16.682418559
 01/01  24:00:00,7.1125,0,0,16.376793379
 01/02  01:00:00,8.075,0,0,16.2457601684
 01/02  02:00:00,7.15,0,0,16.0818965339
 01/02  03:00:00,5.7875,0,0,15.8028559221
 01/02  04:00:00,4.5375,0,0,15.567093687
 01/02  05:00:00,4.9625,0,0,15.4504423788
 01/02  06:00:00,6.6,0,0,19.6830757489
 01/02  07:00:00,7.575,0.74322432,321072.90624,20.2438639441
 01/02  08:00:00,7.425,1.48644864,642145.812480001,20.4752249976
 01/02  09:00:00,9.325,7.06063104,3050192.60928,21.0516811911
 01/02  10:00:00,11.2875,7.06063104,3050192.60928,21.4644923191
 01/02  11:00:00,13.075,7.06063104,3050192.60928,21.6345838771
 01/02  12:00:00,13.9,7.06063104,3050192.60928,21.8892833387
 01/02  13:00:00,13.9,3.7161216,1605364.5312,22.0223799464
 01/02  14:00:00,13.9,7.06063104,3050192.60928,22.0151311163
 01/02  15:00:00,12.8375,7.06063104,3050192.60928,21.8770619761
 01/02  16:00:00,12.575,7.06063104,3050192.60928,21.5895197533
 01/02  17:00:00,11.7375,7.06063104,3050192.60928,21.4574420332
 01/02  18:00:00,10.7875,5.20257024,2247510.34368,21.3566296895
 01/02  19:00:00,11.2875,2.97289728,1284291.62496,21.259105936
 01/02  20:00:00,11.7,2.97289728,1284291.62496,16.9927698435
 01/02  21:00:00,10.6375,0.74322432,321072.90624,16.5286186054
 01/02  22:00:00,9.3125,0.74322432,321072.90624,16.1565915122
 01/02  23:00:00,9.2125,0.37161216,160536.45312,15.9979892691
 01/02  24:00:00,9.0875,0.37161216,160536.45312,15.8786658318
 01/03  01:00:00,9.2125,0,0,16.3867981021
 01/03  02:00:00,9.775,0,0,16.5225638891
 01/03  03:00:00,11.375,0,0,16.5795075212
 01/03  04:00:00,13.2625,0,0,16.7146248129
 01/03  05:00:00,13.2125,0,0,16.7568892021
 01/03  06:00:00,12.425,0,0,20.0380662945
 01/03  07:00:00,11.5125,0.74322432,321072.90624,20.487328565
 01/03  08:00:00,11.1,1.48644864,642145.812480001,20.6999816754
 01/03  09:00:00,11.475,7.06063104,3050192.60928,21.1985286258
 01/03  10:00:00,12.7,7.06063104,3050192.60928,21.5529582155
 01/03  11:00:00,12.6125,7.06063104,3050192.60928,21.7537497693
 01/03  12:00:00,13.95,7.06063104,3050192.60928,21.8073271643
 01/03  13:00:00,15.375,3.7161216,1605364.5312,21.9971374568
 01/03  14:00:00,15.9125,7.06063104,3050192.60928,22.1223539428
 01/03  15:00:00,16.1,7.06063104,3050192.60928,21.9066773575
 01/03  16:00:00,14.725,7.06063104,3050192.60928,21.6539254975
 01/03  17:00:00,13.9,7.06063104,3050192.60928,21.5332240319
 01/03  18:00:00,13.2125,5.20257024,2247510.34368,21.4378726478
 01/03  19:00:00,12.425,2.97289728,1284291.62496,21.3330818899
 01/03  20:00:00,11.2,2.97289728,1284291.62496,17.0557491013
 01/03  21:00:00,10.225,0.74322432,321072.90624,16.5235120323
