Unique ID,ChW Supply,Design Day,Operation Hours,Slab Thickness,Start Time,Tube Depth,Tube Spacing,WWR,Max Opt,Flux Peak,Flux TimeOfPeak,HCL Peak,HCL TimeOfPeak,HCL 2nd Peak,HCL 2nd TimeOfPeak,Cumulative Energy,99% Twb during Operation,90% Twb during Operation
058b80e6-03ad-11e7-97f0-206a8a9bea16,22.64943329,CZ02RV2,20,0.2032,9,0.0508,0.1524,0.2,25.76146474,-2786.151248,12:45:00,2327.367765,9:15:00,2110.866923,18:00:00,37.35603761,20.2653733329,17.3724205038
05947836-03ad-11e7-97f0-206a8a9bea16,17.19231573,CZ02RV2,4,0.2032,9,0.0508,0.1524,0.2,25.99637015,-3642.147552,13:15:00,13113.72542,9:15:00,10304.23108,9:30:00,35.89966322,19.9462825265,17.0574668889
059b9026-03ad-11e7-97f0-206a8a9bea16,17.08059675,CZ02RV2,4,0.2032,4,0.0508,0.1524,0.2,25.99297201,-3021.625989,12:00:00,13563.32979,4:15:00,10611.77181,4:30:00,35.91779606,17.0056691236,14.578866368
05a225b2-03ad-11e7-97f0-206a8a9bea16,21.18335178,CZ02RV2,10,0.2032,9,0.0508,0.1524,0.2,25.80631238,-2963.009892,13:15:00,5648.769801,9:15:00,4468.572738,9:30:00,37.13752434,20.2653733329,17.3724205038
05a9ffa8-03ad-11e7-97f0-206a8a9bea16,22.32473447,CZ02RV2,16,0.2032,5,0.0508,0.1524,0.2,25.78242552,-2907.220204,12:45:00,3527.382672,5:15:00,2767.50618,5:30:00,37.30961651,20.2653733329,17.3724205038
05a9ffa9-03ad-11e7-97f0-206a8a9bea16,20.79706734,CZ02RV2,11,0.2032,8,0.0508,0.2286,0.2,25.79449463,-2979.416529,13:00:00,4813.44648,8:15:00,4246.2332,8:30:00,36.88140106,20.2653733329,17.3724205038
05a9ffaa-03ad-11e7-97f0-206a8a9bea16,21.4411845,CZ02RV2,15,0.2032,21,0.0508,0.2286,0.2,25.76922909,-3031.419038,12:00:00,4432.594771,21:15:00,3898.308257,21:30:00,37.27998877,19.7015789128,16.5696674232
05a9ffab-03ad-11e7-97f0-206a8a9bea16,22.15020485,CZ02RV2,18,0.2032,0,0.0508,0.2286,0.2,25.7935019,-2914.151114,12:45:00,3355.217379,0:15:00,2947.449135,0:30:00,37.00725155,20.2653733329,17.3724205038
05a9ffac-03ad-11e7-97f0-206a8a9bea16,21.38464323,CZ02RV2,13,0.2032,2,0.0508,0.2286,0.2,25.77760506,-3068.63187,12:45:00,4641.885978,2:15:00,4069.429318,2:30:00,36.560185,20.2653733329,17.3724205038
05a9ffad-03ad-11e7-97f0-206a8a9bea16,16.98825636,CZ02RV2,5,0.2032,2,0.0508,0.2286,0.2,25.99337252,-2879.760849,12:00:00,10508.24272,2:15:00,9203.235351,2:30:00,35.46793275,15.4149505041,13.9098142816
05a9ffae-03ad-11e7-97f0-206a8a9bea16,19.58784584,CZ02RV2,9,0.2032,3,0.0508,0.3048,0.2,25.99715631,-3242.382715,12:00:00,6569.117766,3:15:00,5588.255271,3:30:00,35.72573321,19.7015789128,16.5696674232
05a9ffaf-03ad-11e7-97f0-206a8a9bea16,17.74731074,CZ02RV2,7,0.2032,13,0.0508,0.3048,0.2,25.9895941,-2642.689573,18:00:00,8044.218348,13:15:00,6887.291767,13:30:00,37.03171791,20.2653733329,17.3724205038
05a9ffb0-03ad-11e7-97f0-206a8a9bea16,16.68157833,CZ02RV2,6,0.2032,15,0.0508,0.3048,0.2,25.99631233,-2511.584933,18:00:00,9389.402959,15:15:00,8022.319228,15:30:00,37.05565852,19.6897212963,17.103519496
05a9ffb1-03ad-11e7-97f0-206a8a9bea16,22.09913898,CZ02RV2,21,0.2032,7,0.0508,0.3048,0.2,25.79520536,-2816.852905,12:45:00,2218.09764,7:15:00,1950.119601,18:00:00,37.25617719,20.2653733329,17.3724205038
05a9ffb2-03ad-11e7-97f0-206a8a9bea16,22.26224803,CZ02RV2,23,0.2032,0,0.0508,0.3048,0.2,25.78520741,-2830.66161,12:45:00,2280.006881,0:15:00,1975.970885,0:30:00,37.27554453,20.2653733329,17.3724205038
05ac6180-03ad-11e7-97f0-206a8a9bea16,22.06780406,CZ02RV2,15,0.2032,11,0.0762,0.1524,0.2,25.79616532,-2692.251134,13:15:00,3627.119413,11:15:00,2913.442065,11:30:00,37.44064492,20.2653733329,17.3724205038
05ac6181-03ad-11e7-97f0-206a8a9bea16,21.78190186,CZ02RV2,14,0.2032,16,0.0762,0.1524,0.2,25.81374263,-2641.852046,12:15:00,4747.447488,16:15:00,3781.047273,16:30:00,37.53527163,19.5204482506,16.859949287
05ac6182-03ad-11e7-97f0-206a8a9bea16,21.81071691,CZ02RV2,14,0.2032,21,0.0762,0.1524,0.2,25.81401391,-2967.391043,12:00:00,5214.873461,21:15:00,4114.72806,21:30:00,37.42651839,19.2770812485,16.4494312319
05ac6183-03ad-11e7-97f0-206a8a9bea16,21.93686046,CZ02RV2,14,0.2032,23,0.0762,0.1524,0.2,25.80472377,-3062.158738,12:45:00,5098.022138,23:15:00,4013.443114,23:30:00,37.16246505,19.9462825265,17.0574668889
05ac6184-03ad-11e7-97f0-206a8a9bea16,18.49705771,CZ02RV2,5,0.2032,9,0.0762,0.1524,0.2,25.99443055,-3399.90287,14:15:00,10719.78121,9:15:00,8453.88435,9:30:00,36.15938824,19.9462825265,17.0574668889
05ac6185-03ad-11e7-97f0-206a8a9bea16,17.96242608,CZ02RV2,6,0.2032,23,0.0762,0.2286,0.2,25.99851165,-2744.729379,12:15:00,9229.516287,23:15:00,8052.662121,23:30:00,35.95023734,15.9283889764,13.5774512336
05ac6186-03ad-11e7-97f0-206a8a9bea16,22.3087958,CZ02RV2,21,0.2032,8,0.0762,0.2286,0.2,25.78203772,-2799.206783,12:45:00,2082.659416,8:15:00,1980.327812,18:15:00,37.24701158,20.2653733329,17.3724205038
05ac6187-03ad-11e7-97f0-206a8a9bea16,18.56873851,CZ02RV2,7,0.2032,18,0.0762,0.2286,0.2,25.99206223,-2565.016413,12:30:00,8120.213874,18:15:00,7108.728447,18:30:00,36.89172841,18.7817288428,15.2521109782
05ac6188-03ad-11e7-97f0-206a8a9bea16,20.0,CZ02RV2,9,0.2032,1,0.0762,0.2286,0.2,25.97342421,-3023.068216,11:45:00,6643.155818,1:15:00,5795.78632,1:30:00,36.07285475,18.8964595359,16.3173648562
05ac6189-03ad-11e7-97f0-206a8a9bea16,21.28300018,CZ02RV2,13,0.2032,4,0.0762,0.2286,0.2,25.79537046,-3021.937948,13:00:00,4489.609214,4:15:00,3918.21498,4:30:00,36.69883728,20.2653733329,17.3724205038
05ac618a-03ad-11e7-97f0-206a8a9bea16,14.88109382,CZ02RV2,5,0.2032,13,0.0762,0.3048,0.2,25.99737011,-2942.072317,18:00:00,11209.31413,13:15:00,9492.222379,13:30:00,36.98692692,20.2653733329,17.3724205038
05aec3ee-03ad-11e7-97f0-206a8a9bea16,21.27445766,CZ02RV2,16,0.2032,9,0.0762,0.3048,0.2,25.79386013,-2795.761823,13:00:00,3359.162001,9:15:00,2866.584427,9:30:00,37.11899426,20.2653733329,17.3724205038
05aec3ef-03ad-11e7-97f0-206a8a9bea16,18.99074068,CZ02RV2,9,0.2032,13,0.0762,0.3048,0.2,25.98865646,-2501.686424,14:00:00,6481.939942,13:15:00,5509.95526,13:30:00,36.96619351,20.2653733329,17.3724205038
05aed7bc-03ad-11e7-97f0-206a8a9bea16,21.43150622,CZ02RV2,17,0.2032,6,0.0762,0.3048,0.2,25.77447355,-2867.222013,12:45:00,3240.997977,6:15:00,2738.33117,6:30:00,37.24245869,20.2653733329,17.3724205038
05aed7bd-03ad-11e7-97f0-206a8a9bea16,21.77213064,CZ02RV2,19,0.2032,7,0.0762,0.3048,0.2,25.81937658,-2819.146144,12:45:00,2686.590799,7:15:00,2284.166195,7:30:00,37.17202465,20.2653733329,17.3724205038
05aed7be-03ad-11e7-97f0-206a8a9bea16,18.8922288,CZ02RV2,6,0.2032,14,0.1016,0.1524,0.2,25.98840525,-2609.605245,18:00:00,9482.18454,14:15:00,7514.780646,14:30:00,37.75520539,20.2653733329,17.3724205038
05aeeb44-03ad-11e7-97f0-206a8a9bea16,18.4188331,CZ02RV2,5,0.2032,1,0.1016,0.1524,0.2,25.99243779,-2852.35847,12:00:00,11255.10904,1:15:00,8847.600936,1:30:00,36.29330727,15.2331230434,13.3173664798
05aeeb45-03ad-11e7-97f0-206a8a9bea16,22.39458185,CZ02RV2,17,0.2032,2,0.1016,0.1524,0.2,25.77954166,-2919.848123,12:45:00,3672.180813,2:15:00,2895.860482,2:30:00,37.25155176,20.2653733329,17.3724205038
05aeeb46-03ad-11e7-97f0-206a8a9bea16,20.11528508,CZ02RV2,8,0.2032,21,0.1016,0.1524,0.2,25.78761134,-2743.546578,12:15:00,7976.648229,21:15:00,6287.824519,21:30:00,37.5759586,17.3672048306,13.9579061187
05aefeea-03ad-11e7-97f0-206a8a9bea16,17.87611649,CZ02RV2,5,0.2032,14,0.1016,0.1524,0.2,25.99783854,-2766.225569,18:00:00,11162.84336,14:15:00,8834.524557,14:30:00,37.78389203,20.2653733329,17.3724205038
05aefeeb-03ad-11e7-97f0-206a8a9bea16,21.42747873,CZ02RV2,16,0.2032,17,0.1016,0.2286,0.2,25.77005637,-2764.479872,12:15:00,4056.393756,17:15:00,3577.922114,17:30:00,37.49261387,19.078530503,15.9736974254
05aefeec-03ad-11e7-97f0-206a8a9bea16,21.97418431,CZ02RV2,19,0.2032,16,0.1016,0.2286,0.2,25.80102947,-2817.912718,12:00:00,3308.318916,16:15:00,2929.361232,16:30:00,37.29460332,19.5204482506,16.859949287
05aefeed-03ad-11e7-97f0-206a8a9bea16,22.29289445,CZ02RV2,22,0.2032,14,0.1016,0.2286,0.2,25.78374613,-2826.27054,12:00:00,2529.222798,14:15:00,2265.158699,14:30:00,37.39563723,20.2653733329,17.3724205038
05aefeee-03ad-11e7-97f0-206a8a9bea16,22.32243169,CZ02RV2,22,0.2032,12,0.1016,0.2286,0.2,25.78118013,-2736.769076,13:00:00,2274.183912,12:15:00,2044.631327,12:30:00,37.32823071,20.2653733329,17.3724205038
05aefeef-03ad-11e7-97f0-206a8a9bea16,21.23477363,CZ02RV2,13,0.2032,5,0.1016,0.2286,0.2,25.8020291,-2997.704721,13:00:00,4385.614761,5:15:00,3827.442268,5:30:00,36.84404848,20.2653733329,17.3724205038
05aefef0-03ad-11e7-97f0-206a8a9bea16,21.71270392,CZ02RV2,19,0.2032,11,0.1016,0.3048,0.2,25.82327764,-2713.457077,13:00:00,2830.888114,11:15:00,2432.318106,11:30:00,36.98855761,20.2653733329,17.3724205038
05aefef1-03ad-11e7-97f0-206a8a9bea16,20.0,CZ02RV2,12,0.2032,19,0.1016,0.3048,0.2,25.80208991,-2746.046179,12:15:00,5546.318796,19:15:00,4693.541761,19:30:00,37.14675653,17.8811543239,14.6513202362
05aefef2-03ad-11e7-97f0-206a8a9bea16,21.85415711,CZ02RV2,20,0.2032,7,0.1016,0.3048,0.2,25.81320591,-2813.773213,12:45:00,2508.880513,7:15:00,2132.537725,7:30:00,37.19894276,20.2653733329,17.3724205038
05aefef3-03ad-11e7-97f0-206a8a9bea16,17.27290984,CZ02RV2,6,0.2032,8,0.1016,0.3048,0.2,25.99277719,-3305.630207,13:30:00,9052.77949,8:15:00,7645.37135,8:30:00,34.91477705,19.9462825265,17.0574668889
05aefef4-03ad-11e7-97f0-206a8a9bea16,20.10158537,CZ02RV2,11,0.2032,3,0.1016,0.3048,0.2,25.81374729,-3149.137254,13:00:00,5700.043974,3:15:00,4803.308795,3:30:00,36.22514203,19.9462825265,17.0574668889
05b1613a-03ad-11e7-97f0-206a8a9bea16,22.03185887,CZ02RV2,15,0.254,13,0.0508,0.1524,0.2,25.79878021,-2612.1259,13:45:00,3706.629082,13:15:00,3385.593512,13:30:00,37.21672876,20.2653733329,17.3724205038
05b1613b-03ad-11e7-97f0-206a8a9bea16,21.22411139,CZ02RV2,10,0.254,8,0.0508,0.1524,0.2,25.80083108,-2995.845845,13:00:00,5222.307544,8:15:00,4725.580257,8:30:00,36.83466231,20.2653733329,17.3724205038
05b1613c-03ad-11e7-97f0-206a8a9bea16,21.38295153,CZ02RV2,12,0.254,14,0.0508,0.1524,0.2,25.77784434,-2575.632534,12:30:00,4754.122332,14:15:00,4321.171294,14:30:00,37.49957562,20.2653733329,17.3724205038
05b1613d-03ad-11e7-97f0-206a8a9bea16,20.0,CZ02RV2,7,0.254,11,0.0508,0.1524,0.2,25.95555795,-2924.071461,13:45:00,7350.148556,11:15:00,6657.853204,11:30:00,36.52578884,20.2653733329,17.3724205038
05b1613e-03ad-11e7-97f0-206a8a9bea16,20.90457848,CZ02RV2,10,0.254,20,0.0508,0.1524,0.2,25.76477269,-2728.785869,12:30:00,6055.397571,20:15:00,5459.835526,20:30:00,37.05192041,17.3672048306,14.0643362627
05b1613f-03ad-11e7-97f0-206a8a9bea16,22.16861959,CZ02RV2,20,0.254,14,0.0508,0.2286,0.2,25.79134402,-2720.572753,12:30:00,2932.441965,14:15:00,2603.093189,14:30:00,37.32348881,20.2653733329,17.3724205038
05b16140-03ad-11e7-97f0-206a8a9bea16,12.9059082,CZ02RV2,3,0.254,23,0.0508,0.2286,0.2,25.99642739,-2664.582429,12:30:00,16133.85801,23:15:00,14072.827,23:30:00,35.02041756,15.9283889764,13.5774512336
05b16141-03ad-11e7-97f0-206a8a9bea16,22.51430121,CZ02RV2,23,0.254,0,0.0508,0.2286,0.2,25.76988015,-2835.38931,12:45:00,2190.183303,0:15:00,1947.17837,0:30:00,37.33151992,20.2653733329,17.3724205038
05b16142-03ad-11e7-97f0-206a8a9bea16,22.20265392,CZ02RV2,19,0.254,9,0.0508,0.2286,0.2,25.78842695,-2799.756603,13:00:00,2557.01013,9:15:00,2267.976665,9:30:00,37.11250857,20.2653733329,17.3724205038
05b16143-03ad-11e7-97f0-206a8a9bea16,19.71624262,CZ02RV2,8,0.254,0,0.0508,0.2286,0.2,25.99872134,-2821.579383,12:15:00,7179.164532,0:15:00,6265.405902,0:30:00,35.75925234,17.0056691236,14.578866368
05b16144-03ad-11e7-97f0-206a8a9bea16,22.31544823,CZ02RV2,24,0.254,2,0.0508,0.3048,0.2,25.78107247,-2830.233091,12:45:00,1744.060061,18:00:00,1739.288375,17:45:00,37.1337619,20.2653733329,17.3724205038
05b3c452-03ad-11e7-97f0-206a8a9bea16,22.09906426,CZ02RV2,21,0.254,6,0.0508,0.3048,0.2,25.7953592,-2830.695293,12:45:00,2168.137933,6:15:00,1984.22505,6:30:00,36.9608878,20.2653733329,17.3724205038
