Unique ID,ChW Supply,Design Day,Operation Hours,Slab Thickness,Start Time,Tube Depth,Tube Spacing,WWR,Max Opt
66943cdc-f027-11e6-9c07-206a8a9bea16,18.8094415645,CZ01RV2,4,0.2032,1,0.0508,0.1524,0.2,25.9904762688
66a19dbe-f027-11e6-9c07-206a8a9bea16,22.829634638,CZ01RV2,19,0.2032,14,0.0508,0.1524,0.2,25.8208283973
66a885fc-f027-11e6-9c07-206a8a9bea16,23.1181202742,CZ01RV2,21,0.2032,10,0.0508,0.1524,0.2,25.8130230048
66ad4ab0-f027-11e6-9c07-206a8a9bea16,21.1060567649,CZ01RV2,7,0.2032,8,0.0508,0.1524,0.2,25.8023430245
66b527d0-f027-11e6-9c07-206a8a9bea16,21.1551536536,CZ01RV2,8,0.2032,22,0.0508,0.1524,0.2,25.7848679918
66b527d1-f027-11e6-9c07-206a8a9bea16,21.342642153,CZ01RV2,11,0.2032,20,0.0508,0.2286,0.2,25.7588315266
66b527d2-f027-11e6-9c07-206a8a9bea16,22.8599371401,CZ01RV2,22,0.2032,12,0.0508,0.2286,0.2,25.8200832493
66b527d3-f027-11e6-9c07-206a8a9bea16,22.9014556262,CZ01RV2,22,0.2032,6,0.0508,0.2286,0.2,25.8185967191
66b527d4-f027-11e6-9c07-206a8a9bea16,17.5082072547,CZ01RV2,4,0.2032,3,0.0508,0.2286,0.2,25.9997483768
66b527d5-f027-11e6-9c07-206a8a9bea16,22.319785795,CZ01RV2,16,0.2032,12,0.0508,0.2286,0.2,25.7575737259
66b527d6-f027-11e6-9c07-206a8a9bea16,21.3472957639,CZ01RV2,13,0.2032,16,0.0508,0.3048,0.2,25.7608425326
66b527d7-f027-11e6-9c07-206a8a9bea16,22.6980519804,CZ01RV2,23,0.2032,14,0.0508,0.3048,0.2,25.8251173107
66b527d8-f027-11e6-9c07-206a8a9bea16,22.6452956629,CZ01RV2,21,0.2032,18,0.0508,0.3048,0.2,25.8232889154
66b527d9-f027-11e6-9c07-206a8a9bea16,21.6103861528,CZ01RV2,14,0.2032,16,0.0508,0.3048,0.2,25.8103363099
66b527da-f027-11e6-9c07-206a8a9bea16,16.6284328704,CZ01RV2,4,0.2032,7,0.0508,0.3048,0.2,25.9956814804
66b789a8-f027-11e6-9c07-206a8a9bea16,22.8692036932,CZ01RV2,17,0.2032,21,0.0762,0.1524,0.2,25.8110780269
66b789a9-f027-11e6-9c07-206a8a9bea16,23.1141185469,CZ01RV2,22,0.2032,0,0.0762,0.1524,0.2,25.8158922048
66b789aa-f027-11e6-9c07-206a8a9bea16,23.1527470492,CZ01RV2,23,0.2032,1,0.0762,0.1524,0.2,25.814639508
66b79df8-f027-11e6-9c07-206a8a9bea16,23.0885330555,CZ01RV2,21,0.2032,9,0.0762,0.1524,0.2,25.8145817369
66b79df9-f027-11e6-9c07-206a8a9bea16,21.7377791434,CZ01RV2,10,0.2032,19,0.0762,0.1524,0.2,25.7923913341
66b79dfa-f027-11e6-9c07-206a8a9bea16,21.5929643017,CZ01RV2,12,0.2032,21,0.0762,0.2286,0.2,25.8099098266
66b79dfb-f027-11e6-9c07-206a8a9bea16,21.6346292804,CZ01RV2,12,0.2032,23,0.0762,0.2286,0.2,25.8089477482
66b7b180-f027-11e6-9c07-206a8a9bea16,22.8924517082,CZ01RV2,23,0.2032,17,0.0762,0.2286,0.2,25.8191251298
66b7b181-f027-11e6-9c07-206a8a9bea16,22.5584844826,CZ01RV2,19,0.2032,22,0.0762,0.2286,0.2,25.7514562271
66b7c51c-f027-11e6-9c07-206a8a9bea16,21.8936682877,CZ01RV2,14,0.2032,16,0.0762,0.2286,0.2,25.7867521504
66b7c51d-f027-11e6-9c07-206a8a9bea16,20.0,CZ01RV2,8,0.2032,1,0.0762,0.3048,0.2,25.9710963125
66b7c51e-f027-11e6-9c07-206a8a9bea16,21.9553085597,CZ01RV2,16,0.2032,2,0.0762,0.3048,0.2,25.7904597092
66b7c51f-f027-11e6-9c07-206a8a9bea16,13.3915560069,CZ01RV2,3,0.2032,21,0.0762,0.3048,0.2,25.9945655196
66b7c520-f027-11e6-9c07-206a8a9bea16,13.4972350962,CZ01RV2,3,0.2032,22,0.0762,0.3048,0.2,25.993222778
66b7c521-f027-11e6-9c07-206a8a9bea16,22.3594696296,CZ01RV2,20,0.2032,21,0.0762,0.3048,0.2,25.7617432787
66b7c522-f027-11e6-9c07-206a8a9bea16,20.0,CZ01RV2,6,0.2032,12,0.1016,0.1524,0.2,25.8055091813
66b7c523-f027-11e6-9c07-206a8a9bea16,22.84942738,CZ01RV2,17,0.2032,9,0.1016,0.1524,0.2,25.8175770146
66b7c524-f027-11e6-9c07-206a8a9bea16,20.7279720666,CZ01RV2,7,0.2032,17,0.1016,0.1524,0.2,25.7921789304
66b7c525-f027-11e6-9c07-206a8a9bea16,17.2011400658,CZ01RV2,3,0.2032,3,0.1016,0.1524,0.2,25.9937000089
66b7c526-f027-11e6-9c07-206a8a9bea16,21.1476704332,CZ01RV2,8,0.2032,17,0.1016,0.1524,0.2,25.7894073785
66ba27ee-f027-11e6-9c07-206a8a9bea16,21.8710201322,CZ01RV2,13,0.2032,6,0.1016,0.2286,0.2,25.7964979822
66ba27ef-f027-11e6-9c07-206a8a9bea16,22.3571255714,CZ01RV2,17,0.2032,3,0.1016,0.2286,0.2,25.763701497
66ba27f0-f027-11e6-9c07-206a8a9bea16,22.5057441793,CZ01RV2,20,0.2032,16,0.1016,0.2286,0.2,25.7500402549
66ba27f1-f027-11e6-9c07-206a8a9bea16,22.2727989142,CZ01RV2,16,0.2032,10,0.1016,0.2286,0.2,25.7624675598
66ba27f2-f027-11e6-9c07-206a8a9bea16,22.235238407,CZ01RV2,17,0.2032,18,0.1016,0.2286,0.2,25.7580411824
66ba27f3-f027-11e6-9c07-206a8a9bea16,21.935427999,CZ01RV2,16,0.2032,9,0.1016,0.3048,0.2,25.786710511
66ba27f4-f027-11e6-9c07-206a8a9bea16,21.7929464198,CZ01RV2,16,0.2032,18,0.1016,0.3048,0.2,25.7911303364
66ba27f5-f027-11e6-9c07-206a8a9bea16,20.0,CZ01RV2,8,0.2032,5,0.1016,0.3048,0.2,25.8472319093
66ba27f6-f027-11e6-9c07-206a8a9bea16,21.8555430974,CZ01RV2,15,0.2032,0,0.1016,0.3048,0.2,25.7996240784
66ba27f7-f027-11e6-9c07-206a8a9bea16,22.5242942562,CZ01RV2,23,0.2032,20,0.1016,0.3048,0.2,25.7508575761
66ba27f8-f027-11e6-9c07-206a8a9bea16,22.1681536944,CZ01RV2,11,0.254,3,0.0508,0.1524,0.2,25.7755082412
66bc89c6-f027-11e6-9c07-206a8a9bea16,21.4075514427,CZ01RV2,8,0.254,7,0.0508,0.1524,0.2,25.7598168965
66bc89c7-f027-11e6-9c07-206a8a9bea16,22.9156741685,CZ01RV2,19,0.254,17,0.0508,0.1524,0.2,25.8193178599
66bc89c8-f027-11e6-9c07-206a8a9bea16,18.6065208331,CZ01RV2,4,0.254,16,0.0508,0.1524,0.2,25.990820776
66bc89c9-f027-11e6-9c07-206a8a9bea16,22.9629476091,CZ01RV2,19,0.254,18,0.0508,0.1524,0.2,25.8182453212
66bc89ca-f027-11e6-9c07-206a8a9bea16,19.6537505902,CZ01RV2,6,0.254,18,0.0508,0.2286,0.2,25.9903209749
66bc89cb-f027-11e6-9c07-206a8a9bea16,22.7145693589,CZ01RV2,19,0.254,0,0.0508,0.2286,0.2,25.8256467029
66bc89cc-f027-11e6-9c07-206a8a9bea16,20.8233271009,CZ01RV2,9,0.254,17,0.0508,0.2286,0.2,25.7682482945
66bc89cd-f027-11e6-9c07-206a8a9bea16,20.2612564411,CZ01RV2,7,0.254,6,0.0508,0.2286,0.2,25.7913928916
66bc89ce-f027-11e6-9c07-206a8a9bea16,15.6896857024,CZ01RV2,3,0.254,5,0.0508,0.2286,0.2,25.9952657273
66bc89cf-f027-11e6-9c07-206a8a9bea16,21.9667924481,CZ01RV2,15,0.254,10,0.0508,0.3048,0.2,25.7820957213
66bc89d0-f027-11e6-9c07-206a8a9bea16,21.7296381932,CZ01RV2,13,0.254,6,0.0508,0.3048,0.2,25.804443992
66beecd4-f027-11e6-9c07-206a8a9bea16,19.8943013437,CZ01RV2,7,0.254,7,0.0508,0.3048,0.2,25.9907505952
66beecd5-f027-11e6-9c07-206a8a9bea16,22.4869378918,CZ01RV2,20,0.254,20,0.0508,0.3048,0.2,25.753918256
66beecd6-f027-11e6-9c07-206a8a9bea16,21.3937910048,CZ01RV2,12,0.254,1,0.0508,0.3048,0.2,25.7615637512
66beecd7-f027-11e6-9c07-206a8a9bea16,20.8374410921,CZ01RV2,7,0.254,1,0.0762,0.1524,0.2,25.7704010891
66beecd8-f027-11e6-9c07-206a8a9bea16,22.0447157238,CZ01RV2,11,0.254,6,0.0762,0.1524,0.2,25.7839451978
66beecd9-f027-11e6-9c07-206a8a9bea16,22.3327359069,CZ01RV2,13,0.254,23,0.0762,0.1524,0.2,25.7646722071
66beecda-f027-11e6-9c07-206a8a9bea16,21.8423416144,CZ01RV2,10,0.254,1,0.0762,0.1524,0.2,25.7994895593
66beecdb-f027-11e6-9c07-206a8a9bea16,18.7285580043,CZ01RV2,4,0.254,17,0.0762,0.1524,0.2,25.9918979405
