Month,Day,Rise,Set
1,1,0724,1701
1,2,0725,1702
1,3,0725,1703
1,4,0725,1704
1,5,0725,1705
1,6,0725,1705
1,7,0725,1706
1,8,0725,1707
1,9,0724,1708
1,10,0724,1709
1,11,0724,1710
1,12,0724,1711
1,13,0724,1712
1,14,0723,1713
1,15,0723,1714
1,16,0723,1715
1,17,0722,1716
1,18,0722,1717
1,19,0721,1719
1,20,0721,1720
1,21,0720,1721
1,22,0720,1722
1,23,0719,1723
1,24,0719,1724
1,25,0718,1725
1,26,0717,1726
1,27,0717,1727
1,28,0716,1728
1,29,0715,1730
1,30,0714,1731
1,31,0713,1732
2,1,0713,1733
2,2,0712,1734
2,3,0711,1735
2,4,0710,1736
2,5,0709,1737
2,6,0708,1739
2,7,0707,1740
2,8,0706,1741
2,9,0705,1742
2,10,0704,1743
2,11,0703,1744
2,12,0702,1745
2,13,0700,1746
2,14,0659,1747
2,15,0658,1748
2,16,0657,1749
2,17,0656,1750
2,18,0654,1752
2,19,0653,1753
2,20,0652,1754
2,21,0651,1755
2,22,0649,1756
2,23,0648,1757
2,24,0647,1758
2,25,0645,1759
2,26,0644,1800
2,27,0643,1801
2,28,0641,1802
2,29,,
2,30,,
2,31,,
3,1,0640,1803
3,2,0638,1804
3,3,0637,1805
3,4,0636,1806
3,5,0634,1807
3,6,0633,1808
3,7,0631,1809
3,8,0630,1810
3,9,0628,1811
3,10,0627,1812
3,11,0625,1813
3,12,0624,1814
3,13,0622,1815
3,14,0621,1816
3,15,0619,1816
3,16,0618,1817
3,17,0616,1818
3,18,0615,1819
3,19,0613,1820
3,20,0612,1821
3,21,0610,1822
3,22,0609,1823
3,23,0607,1824
3,24,0606,1825
3,25,0604,1826
3,26,0603,1827
3,27,0601,1828
3,28,0600,1829
3,29,0558,1829
3,30,0557,1830
3,31,0555,1831
4,1,0554,1832
4,2,0552,1833
4,3,0551,1834
4,4,0549,1835
4,5,0548,1836
4,6,0546,1837
4,7,0545,1838
4,8,0543,1839
4,9,0542,1839
4,10,0540,1840
4,11,0539,1841
4,12,0537,1842
4,13,0536,1843
4,14,0535,1844
4,15,0533,1845
4,16,0532,1846
4,17,0530,1847
4,18,0529,1848
4,19,0528,1849
4,20,0526,1850
4,21,0525,1850
4,22,0524,1851
4,23,0522,1852
4,24,0521,1853
4,25,0520,1854
4,26,0519,1855
4,27,0517,1856
4,28,0516,1857
4,29,0515,1858
4,30,0514,1859
4,31,,
5,1,0513,1900
5,2,0512,1901
5,3,0510,1902
5,4,0509,1902
5,5,0508,1903
5,6,0507,1904
5,7,0506,1905
5,8,0505,1906
5,9,0504,1907
5,10,0503,1908
5,11,0502,1909
5,12,0501,1910
5,13,0500,1910
5,14,0500,1911
5,15,0459,1912
5,16,0458,1913
5,17,0457,1914
5,18,0456,1915
5,19,0456,1916
5,20,0455,1916
5,21,0454,1917
5,22,0454,1918
5,23,0453,1919
5,24,0452,1920
5,25,0452,1920
5,26,0451,1921
5,27,0451,1922
5,28,0450,1923
5,29,0450,1923
5,30,0449,1924
5,31,0449,1925
6,1,0449,1925
6,2,0448,1926
6,3,0448,1927
6,4,0448,1927
6,5,0447,1928
6,6,0447,1928
6,7,0447,1929
6,8,0447,1930
6,9,0447,1930
6,10,0447,1931
6,11,0446,1931
6,12,0446,1931
6,13,0446,1932
6,14,0446,1932
6,15,0446,1933
6,16,0447,1933
6,17,0447,1933
6,18,0447,1934
6,19,0447,1934
6,20,0447,1934
6,21,0447,1934
6,22,0448,1934
6,23,0448,1935
6,24,0448,1935
6,25,0448,1935
6,26,0449,1935
6,27,0449,1935
6,28,0450,1935
6,29,0450,1935
6,30,0450,1935
6,31,,
7,1,0451,1935
7,2,0451,1935
7,3,0452,1934
7,4,0452,1934
