Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/01  02:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,1631054.61027225,0.0,1631054.61027225 
 01/01  03:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/01  04:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,1631002.00209187,0.0,1631002.00209187 
 01/01  05:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,1631073.59015426,0.0,1631073.59015426 
 01/01  06:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/01  07:00:00,13839067.5662545,0.0,0.0,990009.65232,6909000.,5940057.91392,0.0,1.453846153846154E-005,1631059.41720757,0.0,1631059.41720757 
 01/01  08:00:00,6930067.56625454,0.0,0.0,990009.65232,0.0,5940057.91392,0.0,1.453846153846154E-005,1631072.48388635,0.0,1631072.48388635 
 01/01  09:00:00,6930067.56625454,0.0,0.0,990009.65232,0.0,5940057.91392,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/01  10:00:00,6930067.56625454,0.0,0.0,990009.65232,0.0,5940057.91392,0.0,1.453846153846154E-005,1631110.16211352,0.0,1631110.16211352 
 01/01  11:00:00,6930067.56625454,0.0,0.0,990009.65232,0.0,5940057.91392,0.0,1.453846153846154E-005,1631093.86769092,0.0,1631093.86769092 
 01/01  12:00:00,6930067.56625454,0.0,0.0,990009.65232,0.0,5940057.91392,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/01  13:00:00,6930067.56625454,0.0,0.0,990009.65232,0.0,5940057.91392,0.0,1.453846153846154E-005,1631084.92704231,0.0,1631084.92704231 
 01/01  14:00:00,6930067.56625454,0.0,0.0,990009.65232,0.0,5940057.91392,0.0,1.453846153846154E-005,1631047.25578157,0.0,1631047.25578157 
 01/01  15:00:00,6930067.56625454,0.0,0.0,990009.65232,0.0,5940057.91392,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/01  16:00:00,6930067.56625454,0.0,0.0,990009.65232,0.0,5940057.91392,0.0,1.453846153846154E-005,1631092.63532087,0.0,1631092.63532087 
 01/01  17:00:00,11075467.5662545,0.0,0.0,990009.65232,4145400.,5940057.91392,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/01  18:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,1631113.74474085,0.0,1631113.74474085 
 01/01  19:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,1631089.49553288,0.0,1631089.49553288 
 01/01  20:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/01  21:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,1631093.62299331,0.0,1631093.62299331 
 01/01  22:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,1631082.2072584,0.0,1631082.2072584 
 01/01  23:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/01  24:00:00,15220867.5662545,0.0,0.0,990009.65232,8290800.,5940057.91392,0.0,1.453846153846154E-005,1631025.72533752,0.0,1631025.72533752 
 01/02  01:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631113.12497219,0.0,1631113.12497219 
 01/02  02:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/02  03:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631079.33035023,0.0,1631079.33035023 
 01/02  04:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631045.46035158,0.0,1631045.46035158 
 01/02  05:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/02  06:00:00,18190896.5232145,0.0,0.0,1980019.30464,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631111.60690588,0.0,1631111.60690588 
 01/02  07:00:00,24028712.6961182,0.0,0.0,1980019.30464,6909000.,7920077.21856,7219616.17290362,1.453846153846154E-005,37792373.9206251,36161327.6044315,1631046.31619364 
 01/02  08:00:00,21079751.3053982,0.0,0.0,5940057.91392,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,32817439.7514847,32745439.7514847,72000. 
 01/02  09:00:00,42868992.4145698,0.0,9028.75813162575,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,6867069.54718919,5235797.69201233,1631271.85517685 
 01/02  10:00:00,42864606.3252053,0.0,4642.66876717602,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,2902885.6744026,1271572.25195104,1631313.42245156 
 01/02  11:00:00,43010602.6802746,0.0,150639.023836489,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1679040.20761288,47704.3367328866,1631335.87088 
 01/02  12:00:00,43481402.9486033,0.0,621439.292165186,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631330.03025537,0.0,1631330.03025537 
 01/02  13:00:00,41568766.5992432,0.0,688822.247445073,17820173.74176,0.0,15840154.43712,7219616.17290362,1.453846153846154E-005,3190525.33319764,0.0,3190525.33319764 
 01/02  14:00:00,43830309.0899185,0.0,970345.433480299,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631227.11032678,0.0,1631227.11032678 
 01/02  15:00:00,43871535.8943213,0.0,1011572.23788319,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631152.07756867,0.0,1631152.07756867 
 01/02  16:00:00,43799850.0254345,0.0,939886.368996312,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631280.16475896,0.0,1631280.16475896 
 01/02  17:00:00,47494228.0124547,0.0,488864.35601653,17820173.74176,4145400.,17820173.74176,7219616.17290362,1.453846153846154E-005,1631316.6126806,0.0,1631316.6126806 
 01/02  18:00:00,35312024.6841511,0.0,1415.46483289864,9900096.5232,8290800.,9900096.5232,7219616.17290362,1.453846153846154E-005,1847961.67560893,216702.120167591,1631259.55544134 
 01/02  19:00:00,29370551.3053982,0.0,0.0,5940057.91392,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,393265.57361647,321265.57361647,72000. 
 01/02  20:00:00,29370551.3053982,0.0,0.0,5940057.91392,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,2829282.74899836,1198208.69853454,1631074.05046382 
 01/02  21:00:00,27390532.0007582,0.0,0.0,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,4360753.50979929,2729584.72112665,1631168.78867264 
 01/02  22:00:00,27390532.0007582,0.0,0.0,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,4679655.45877828,3048520.11587057,1631135.34290771 
 01/02  23:00:00,18190896.5232145,0.0,0.0,1980019.30464,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/02  24:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631091.18346979,0.0,1631091.18346979 
 01/03  01:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631062.0662646,0.0,1631062.0662646 
 01/03  02:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/03  03:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631023.85882915,0.0,1631023.85882915 
 01/03  04:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/03  05:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631116.43485568,0.0,1631116.43485568 
 01/03  06:00:00,18190896.5232145,0.0,0.0,1980019.30464,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631117.94125901,0.0,1631117.94125901 
 01/03  07:00:00,24028712.6961182,0.0,0.0,1980019.30464,6909000.,7920077.21856,7219616.17290362,1.453846153846154E-005,19459174.7149304,19387174.7149304,72000. 
 01/03  08:00:00,21079751.3053982,0.0,0.0,5940057.91392,0.0,7920077.21856,7219616.17290362,1.453846153846154E-005,28859013.9241401,27227850.9177936,1631163.00634648 
 01/03  09:00:00,42866455.458763,0.0,6491.802324871,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,5604848.62075775,3973562.33274043,1631286.28801733 
 01/03  10:00:00,42865399.1278768,0.0,5435.47143860049,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,2051600.80763966,420270.262919002,1631330.54472065 
 01/03  11:00:00,43181647.1423244,0.0,321683.485886245,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631337.15017574,0.0,1631337.15017574 
 01/03  12:00:00,43544114.538499,0.0,684150.882060823,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631393.24918473,0.0,1631393.24918473 
 01/03  13:00:00,41630658.2221799,0.0,750713.870381772,17820173.74176,0.0,15840154.43712,7219616.17290362,1.453846153846154E-005,1631333.45832854,0.0,1631333.45832854 
 01/03  14:00:00,43992544.8715486,0.0,1132581.21511043,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,3190882.81363133,0.0,3190882.81363133 
 01/03  15:00:00,44073195.9221815,0.0,1213232.2657433,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631302.14637318,0.0,1631302.14637318 
 01/03  16:00:00,43967179.3834797,0.0,1107215.72704151,17820173.74176,0.0,17820173.74176,7219616.17290362,1.453846153846154E-005,1631280.69527722,0.0,1631280.69527722 
 01/03  17:00:00,47493941.390445,0.0,488577.734006853,17820173.74176,4145400.,17820173.74176,7219616.17290362,1.453846153846154E-005,1631342.72879473,0.0,1631342.72879473 
 01/03  18:00:00,35318173.2293452,0.0,7564.01002705684,9900096.5232,8290800.,9900096.5232,7219616.17290362,1.453846153846154E-005,1843849.87545393,212605.571992903,1631244.30346103 
 01/03  19:00:00,29370551.3053982,0.0,0.0,5940057.91392,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,1703555.37095079,1631555.37095079,72000. 
 01/03  20:00:00,29370551.3053982,0.0,0.0,5940057.91392,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,4426985.16266788,2795808.39734735,1631176.76532052 
 01/03  21:00:00,27390532.0007582,0.0,0.0,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,6271786.49292114,4640589.5748066,1631196.91811455 
 01/03  22:00:00,27390532.0007582,0.0,0.0,3960038.60928,8290800.,7920077.21856,7219616.17290362,1.453846153846154E-005,9013561.98343361,7382469.61949469,1631092.36393893 
 01/03  23:00:00,18190896.5232145,0.0,0.0,1980019.30464,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/03  24:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631048.5963966,0.0,1631048.5963966 
 01/04  01:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631015.01729193,0.0,1631015.01729193 
 01/04  02:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,72000.,0.0,72000. 
 01/04  03:00:00,17200886.8708945,0.0,0.0,990009.65232,8290800.,7920077.21856,0.0,1.453846153846154E-005,1631107.89829476,0.0,1631107.89829476 
