Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.629857E-01,5.159976E+03,8.977973E-02,0.000000E+00,0.000000E+00,8.977973E-02,1.496502E+03,8.977973E-02,9.573715E+02,1.915130E+03,2.147926E-01,5.653785E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.134445E+03,6.805885E-02,7.257496E+02,1.451793E+03,1.356584E-01,3.511282E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,6.729676E+02,4.037338E-02,4.305240E+02,8.612221E+02,2.070862E-01,5.506629E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.134445E+03,6.805885E-02,7.257496E+02,1.451793E+03,1.353500E-01,3.505393E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,6.729676E+02,4.491971E-02,4.940162E+02,9.413034E+02
00:20:00,1.629866E-01,5.159992E+03,8.977973E-02,0.000000E+00,0.000000E+00,8.977973E-02,1.508771E+03,8.977973E-02,9.451021E+02,1.902574E+03,2.147929E-01,5.653791E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.143746E+03,6.805885E-02,7.164486E+02,1.442274E+03,1.356587E-01,3.511286E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,6.784850E+02,4.037338E-02,4.250065E+02,8.555758E+02,2.070865E-01,5.506636E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.143746E+03,6.805885E-02,7.164486E+02,1.442274E+03,1.353502E-01,3.505396E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,6.784850E+02,4.575674E-02,5.001881E+02,9.503714E+02
00:30:00,1.629874E-01,5.160008E+03,8.977973E-02,0.000000E+00,0.000000E+00,8.977973E-02,1.521041E+03,8.977973E-02,9.328327E+02,1.890020E+03,2.147932E-01,5.653797E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.153047E+03,6.805885E-02,7.071476E+02,1.432757E+03,1.356589E-01,3.511290E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,6.840025E+02,4.037338E-02,4.194891E+02,8.499300E+02,2.070869E-01,5.506642E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.153047E+03,6.805885E-02,7.071476E+02,1.432757E+03,1.353504E-01,3.505400E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,6.840025E+02,4.641391E-02,5.038483E+02,9.562487E+02
00:40:00,1.629882E-01,5.160023E+03,8.977973E-02,0.000000E+00,0.000000E+00,8.977973E-02,1.533310E+03,8.977973E-02,9.205634E+02,1.877464E+03,2.147935E-01,5.653803E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.162348E+03,6.805885E-02,6.978466E+02,1.423239E+03,1.356591E-01,3.511294E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,6.895199E+02,4.037338E-02,4.139716E+02,8.442838E+02,2.070872E-01,5.506648E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.162348E+03,6.805885E-02,6.978466E+02,1.423239E+03,1.353506E-01,3.505403E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,6.895199E+02,4.691233E-02,5.052914E+02,9.593132E+02
00:50:00,1.629889E-01,5.160037E+03,8.977973E-02,0.000000E+00,0.000000E+00,8.977973E-02,1.545579E+03,8.977973E-02,9.082940E+02,1.864908E+03,2.147937E-01,5.653808E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.171649E+03,6.805885E-02,6.885457E+02,1.413721E+03,1.356592E-01,3.511297E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,6.950374E+02,4.037338E-02,4.084541E+02,8.386374E+02,2.070875E-01,5.506654E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.171649E+03,6.805885E-02,6.885457E+02,1.413721E+03,1.353507E-01,3.505405E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,6.950374E+02,4.727172E-02,5.047929E+02,9.599216E+02
01:00:00,1.629897E-01,5.160051E+03,8.977973E-02,0.000000E+00,0.000000E+00,8.977973E-02,1.557849E+03,8.977973E-02,8.960246E+02,1.852352E+03,2.147940E-01,5.653812E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.180950E+03,6.805885E-02,6.792447E+02,1.404203E+03,1.356594E-01,3.511300E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,7.005548E+02,4.037338E-02,4.029367E+02,8.329912E+02,2.070878E-01,5.506659E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.180950E+03,6.805885E-02,6.792447E+02,1.404203E+03,1.353508E-01,3.505408E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,7.005548E+02,4.751090E-02,5.026156E+02,9.584142E+02
01:10:00,1.629904E-01,5.160066E+03,8.977973E-02,0.000000E+00,0.000000E+00,8.977973E-02,1.566028E+03,8.977973E-02,8.878450E+02,1.843981E+03,2.147946E-01,5.653824E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.187151E+03,6.805885E-02,6.730440E+02,1.397857E+03,1.356598E-01,3.511308E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,7.042331E+02,4.037338E-02,3.992584E+02,8.292270E+02,2.070884E-01,5.506670E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.187151E+03,6.805885E-02,6.730440E+02,1.397857E+03,1.353512E-01,3.505415E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,7.042331E+02,4.777231E-02,5.025880E+02,9.591807E+02
01:20:00,1.629912E-01,5.160080E+03,8.977973E-02,0.000000E+00,0.000000E+00,8.977973E-02,1.574208E+03,8.977973E-02,8.796655E+02,1.835611E+03,2.147951E-01,5.653834E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.193351E+03,6.805885E-02,6.668434E+02,1.391512E+03,1.356602E-01,3.511314E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,7.079115E+02,4.037338E-02,3.955801E+02,8.254627E+02,2.070889E-01,5.506681E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.193351E+03,6.805885E-02,6.668434E+02,1.391512E+03,1.353516E-01,3.505422E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,7.079115E+02,4.795905E-02,5.015177E+02,9.586356E+02
01:30:00,1.629919E-01,5.160093E+03,8.977973E-02,0.000000E+00,0.000000E+00,8.977973E-02,1.582387E+03,8.977973E-02,8.714859E+02,1.827240E+03,2.147957E-01,5.653845E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.199552E+03,6.805885E-02,6.606427E+02,1.385166E+03,1.356605E-01,3.511321E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,7.115898E+02,4.037338E-02,3.919018E+02,8.216986E+02,2.070895E-01,5.506691E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.199552E+03,6.805885E-02,6.606427E+02,1.385166E+03,1.353519E-01,3.505429E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,7.115898E+02,4.808271E-02,4.995664E+02,9.569875E+02
01:40:00,1.629926E-01,5.160107E+03,8.977973E-02,0.000000E+00,0.000000E+00,8.977973E-02,1.590567E+03,8.977973E-02,8.633063E+02,1.818870E+03,2.147962E-01,5.653855E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.205753E+03,6.805885E-02,6.544421E+02,1.378821E+03,1.356608E-01,3.511328E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,7.152681E+02,4.037338E-02,3.882235E+02,8.179344E+02,2.070900E-01,5.506701E+03,6.805885E-02,0.000000E+00,0.000000E+00,6.805885E-02,1.205753E+03,6.805885E-02,6.544421E+02,1.378821E+03,1.353523E-01,3.505435E+03,4.037338E-02,0.000000E+00,0.000000E+00,4.037338E-02,7.152681E+02,4.815398E-02,4.968834E+02,9.544276E+02
