Time,CORE_ZN:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:LAS_VEGAS ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_ZN:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:LAS_VEGAS ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:LAS_VEGAS ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_1:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:LAS_VEGAS ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:LAS_VEGAS ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_2:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:LAS_VEGAS ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:LAS_VEGAS ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_3:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:LAS_VEGAS ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:LAS_VEGAS ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_4:LAS_VEGAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:LAS_VEGAS ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,2.632039E+03,4.518792E+02,1.358214E-01,3.486495E-02,3.468484E+03,4.376267E+02,1.789938E-01,3.376517E-02,2.190649E+03,3.892785E+02,1.130487E-01,3.003608E-02,3.344041E+03,4.568130E+02,1.725718E-01,3.524560E-02,2.185669E+03,4.851399E+02,1.127917E-01,3.743309E-02
00:20:00,2.632053E+03,4.686510E+02,1.358222E-01,3.615928E-02,3.468489E+03,4.492300E+02,1.789941E-01,3.466064E-02,2.190653E+03,3.958187E+02,1.130489E-01,3.054090E-02,3.344047E+03,4.700012E+02,1.725721E-01,3.626339E-02,2.185672E+03,4.941783E+02,1.127919E-01,3.813061E-02
00:30:00,2.632066E+03,4.826471E+02,1.358228E-01,3.723942E-02,3.468494E+03,4.583232E+02,1.789943E-01,3.536242E-02,2.190656E+03,4.008626E+02,1.130491E-01,3.093021E-02,3.344052E+03,4.805080E+02,1.725724E-01,3.707425E-02,2.185675E+03,5.012746E+02,1.127920E-01,3.867826E-02
00:40:00,2.632079E+03,4.944986E+02,1.358235E-01,3.815406E-02,3.468499E+03,4.651755E+02,1.789946E-01,3.589127E-02,2.190659E+03,4.046553E+02,1.130492E-01,3.122294E-02,3.344058E+03,4.887374E+02,1.725727E-01,3.770937E-02,2.185678E+03,5.066566E+02,1.127921E-01,3.909361E-02
00:50:00,2.632091E+03,5.045058E+02,1.358241E-01,3.892637E-02,3.468503E+03,4.702308E+02,1.789948E-01,3.628145E-02,2.190662E+03,4.075908E+02,1.130494E-01,3.144948E-02,3.344062E+03,4.951396E+02,1.725729E-01,3.820348E-02,2.185680E+03,5.105374E+02,1.127923E-01,3.939310E-02
01:00:00,2.632103E+03,5.131962E+02,1.358247E-01,3.959706E-02,3.468507E+03,4.737837E+02,1.789950E-01,3.655567E-02,2.190665E+03,4.096244E+02,1.130495E-01,3.160639E-02,3.344067E+03,4.997961E+02,1.725732E-01,3.856287E-02,2.185682E+03,5.131203E+02,1.127924E-01,3.959241E-02
01:10:00,2.632115E+03,5.232818E+02,1.358254E-01,4.037536E-02,3.468516E+03,4.782013E+02,1.789955E-01,3.689659E-02,2.190671E+03,4.121447E+02,1.130498E-01,3.180085E-02,3.344076E+03,5.051949E+02,1.725736E-01,3.897951E-02,2.185688E+03,5.159436E+02,1.127927E-01,3.981026E-02
01:20:00,2.632127E+03,5.322920E+02,1.358260E-01,4.107071E-02,3.468525E+03,4.816446E+02,1.789959E-01,3.716234E-02,2.190677E+03,4.140554E+02,1.130501E-01,3.194828E-02,3.344085E+03,5.095063E+02,1.725741E-01,3.931225E-02,2.185694E+03,5.179606E+02,1.127930E-01,3.996588E-02
01:30:00,2.632138E+03,5.403577E+02,1.358266E-01,4.169317E-02,3.468534E+03,4.842649E+02,1.789964E-01,3.736458E-02,2.190683E+03,4.154410E+02,1.130504E-01,3.205519E-02,3.344094E+03,5.128897E+02,1.725746E-01,3.957338E-02,2.185700E+03,5.192963E+02,1.127933E-01,4.006893E-02
01:40:00,2.632150E+03,5.476157E+02,1.358272E-01,4.225331E-02,3.468543E+03,4.862061E+02,1.789968E-01,3.751441E-02,2.190688E+03,4.163864E+02,1.130507E-01,3.212813E-02,3.344102E+03,5.154924E+02,1.725750E-01,3.977427E-02,2.185705E+03,5.200662E+02,1.127936E-01,4.012832E-02
